Set 1,Set 1,Set 1,Set 1,Set 1,Set 1,Set 2,Set 2,Set 2,Set 2,Set 2,Set 2,Set 3,Set 3,Set 3,Set 3,Set 3,Set 3,Set 4,Set 4,Set 4,Set 4,Set 4,Set 4
Colour,Colour,Pattern,Pattern,Chevron,Chevron,Far,Far,Middle,Middle,Near,Near,Small,Small,Medium,Medium,Large,Large,Far,Far,Middle,Middle,Near,Near
Oddball L,Oddball R,Oddball L,Oddball R,Oddball L,Oddball R,Oddball L,Oddball R,Oddball L,Oddball R,Oddball L,Oddball R,Oddball L,Oddball R,Oddball L,Oddball R,Oddball L,Oddball R,Oddball Worm,Oddball Bug,Oddball Worm,Oddball Bug,Oddball Worm,Oddball Bug
,,,,,,,,,,,,,,,,,,1147,1047,830,817,652,483
,,,,,,,,,,,,,,,,,,1325,1092,1325,830,817,486
,,,,,,,,,,,,,,,,,,1037,1863,500,1092,818,596
,,,,,,,,,,,,,,,,,,1146,1202,610,707,818,1038
,,,,,,,,,,,,,,,,,,1710,2425,940,1208,1148,597
,,,,,,,,,,,,,,,,,,1983,1092,1642,1652,926,1531
,,,,,,,,,,,,,,,,,,666,1477,937,1042,712,707
,,,,,,,,,,,,,,,,,,1097,1422,1092,653,982,602
,,,,,,,,,,,,,,,,,,885,1147,775,652,597,658
,,,,,,,,,,,,,,,,,,2206,1037,762,1367,817,874
,,,,,,,,,,,,,,,,,,1147,1532,1160,939,597,547
,,,,,,,,,,,,,,,,,,1867,1918,1105,1876,597,932
,,,,,,,,,,,,,,,,,,877,982,1147,721,487,877
,,,,,,,,,,,,,,,,,,1050,1146,1160,720,982,544
,,,,,,,,,,,,,,,,,,1106,928,885,542,487,602
,,,,,,,,,,,,,,,,,,885,1038,761,981,762,707
,,,,,,,,,,,,,,,,,,1422,2247,657,1806,602,542
,,,,,,,,,,,,,,,,,,1867,2032,1542,1257,547,762
,,,,,,,,,,,,,,,,,,872,1421,596,488,657,707
,,,,,,,,,,,,,,,,,,882,1477,1147,940,653,652
,,,,,,,,,,,,,,,,,,872,2095,501,982,652,547
,,,,,,,,,,,,,,,,,,981,1037,707,1148,596,1043
,,,,,,,,,,,,,,,,,,2150,1477,940,1316,706,598
,,,,,,,,,,,,,,,,,,1257,1647,2742,1046,547,657
,,,,,,,,,,,,,,,,,,830,1162,927,1592,598,772
,,,,,,,,,,,,,,,,,,1317,708,1092,982,707,602
,,,,,,,,,,,,,,,,,,995,658,542,708,707,603
,,,,,,,,,,,,,,,,,,1257,1159,721,707,932,712
,,,,,,,,,,,,,,,,,,1313,1422,1160,872,707,657
,,,,,,,,,,,,,,,,,,1533,1423,2416,1586,598,877
,,,,,,,,,,,,,,,,,,1160,1207,1215,983,872,602
,,,,,,,,,,,,,,,,,,1586,1697,652,721,597,487
,,,,,,,,,,,,,,,,,,885,1211,1644,555,597,657
,,,,,,,,,,,,,,,,,,928,1037,597,1047,1037,822
,,,,,,,,,,,,,,,,,,1545,2026,775,1042,712,542
,,,,,,,,,,,,,,,,,,1257,1257,3242,1641,767,712
,,,,,,,,,,,,,,,,,,932,872,995,1152,662,1092
,,,,,,,,,,,,,,,,,,761,816,983,933,817,712
,,,,,,,,,,,,,,,,,,816,1366,500,487,432,542
,,,,,,,,,,,,,,,,,,995,1147,556,1367,707,707
,,,,,,,,,,,,,,,,,,2095,1930,652,1152,547,547
,,,,,,,,,,,,,,,,,,1270,2807,1807,1697,652,602
,,,,,,,,,,,,,,,,,,1050,1201,940,981,819,707
,,,,,,,,,,,,,,,,,,915,982,762,1091,657,542
,,,,,,,,,,,,,,,,,,665,1037,597,543,487,432
,,,,,,,,,,,,,,,,,,1050,885,652,762,598,596
,,,,,,,,,,,,,,,,,,1646,1538,1257,1368,981,597
,,,,,,,,,,,,,,,,,,1156,1807,1537,1258,762,657
,,,,,,,,,,,,,,,,,,1092,877,873,1146,761,651
,,,,,,,,,,,,,,,,,,1597,1159,928,927,657,597
,,,,,,,,,,,,,,,,,,1105,1147,500,1037,487,597
,,,,,,,,,,,,,,,,,,940,2412,653,597,762,872
,,,,,,,,,,,,,,,,,,1591,1147,1257,1311,653,597
,,,,,,,,,,,,,,,,,,1367,1532,1369,1587,487,493
